OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor,lng,lat
1,83,TOTAL PETROCHEMICALS & REFINING USA,TOTAL SA,Port Arthur,Texas,3,245,117,80,0,0,43,15.3,274.5,60,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.96046,-93.88847,1,-93.88847,29.96046000000003
2,84,ALON USA ENERGY INC,DELEK GROUP LTD,Big Spring,Texas,3,74,28,23.5,0,0,21.5,5,61,0,7.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.270992,-101.415073,0,-101.415073,32.27099200000006
3,87,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Catlettsburg,Kentucky,2,306,134,104,0,0,58,38.5,275.5,0,35.4,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.376602,-82.596408,1,-82.59640799999995,38.376602000000005
4,89,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Canton,Ohio,2,102,35,26,0,0,22,8.5,94.5,0,14.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.772929,-81.413878,1,-81.413878,40.772929000000005
5,92,ST PAUL PARK REFINING CO LLC,MARATHON PETROLEUM CORP,Saint Paul,Minnesota,2,108,50,33,0,0,23,22,110.5,0,14.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,44.851007,-92.994345,1,-92.99434499999998,44.851007000000045
6,97,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Carson,California,5,382,205,102.5,92,0,79.5,70.3,302,109.1,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.818578,-118.236677,1,-118.23667699999999,33.81857800000004
7,98,BP West Coast Products LLC,BP PLC,Ferndale,Washington,5,251,139,0,65,0,65,26,180.8,61.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,48.884624,-122.734766,1,-122.73476599999996,48.88462400000001
8,99,CONOCOPHILLIPS ALASKA INC,CONOCOPHILLIPS,Prudhoe Bay,Alaska,5,16,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,70.324832,-149.604069,0,-149.604069,70.32483200000003
9,100,HILCORP NORTH SLOPE LLC,HILCORP ENERGY CO,Prudhoe Bay,Alaska,5,8,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,70.253586,-148.37813,0,-148.37812999999997,70.253586
10,110,CALUMET PRINCETON REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Princeton,Louisiana,3,8.7,7,0,0,0,0,0,0,0,2,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.59107,-93.511874,0,-93.51187399999996,32.59107
